Provider UKPRN,Provider region,Provider country,Russell Group filter,Pre 92 filter,Post 92 filter
10000291,East of England,England,Non-member,Non-member,Member
10000385,South West,England,Non-member,Non-member,Non-member
10000571,South West,England,Non-member,Non-member,Member
10000712,West Midlands,England,Non-member,Non-member,Non-member
10000824,South West,England,Non-member,Non-member,Member
10000886,South East,England,Non-member,Non-member,Member
10000936,London,England,Non-member,Non-member,Non-member
10000961,London,England,Non-member,Member,Non-member
10000975,South East,England,Non-member,Non-member,Member
10001143,South East,England,Non-member,Non-member,Member
10001282,North East,England,Non-member,Non-member,Member
10001478,London,England,Non-member,Member,Non-member
10001653,London,England,Non-member,Non-member,Non-member
10001726,West Midlands,England,Non-member,Non-member,Member
10001883,East Midlands,England,Non-member,Non-member,Member
10002681,Scotland,Scotland,Non-member,Non-member,Non-member
10002718,London,England,Non-member,Member,Non-member
10003270,London,England,Member,Member,Non-member
10003324,London,England,Non-member,Member,Non-member
10003614,South East,England,Non-member,Non-member,Member
10003645,London,England,Member,Member,Non-member
10003678,London,England,Non-member,Non-member,Member
10003854,Yorkshire and The Humber,England,Non-member,Non-member,Member
10003861,Yorkshire and The Humber,England,Non-member,Non-member,Member
10003863,Yorkshire and The Humber,England,Non-member,Non-member,Member
10003945,North West,England,Non-member,Non-member,Non-member
10003956,North West,England,Non-member,Non-member,Member
10003957,North West,England,Non-member,Non-member,Member
10003958,North West,England,Non-member,Non-member,Member
10004048,London,England,Non-member,Non-member,Member
10004063,London,England,Member,Member,Non-member
10004078,London,England,Non-member,Non-member,Member
10004113,East Midlands,England,Non-member,Member,Non-member
10004180,North West,England,Non-member,Non-member,Member
10004351,London,England,Non-member,Non-member,Member
10004511,South East,England,Non-member,Non-member,Non-member
10004775,East of England,England,Non-member,Non-member,Non-member
10004797,East Midlands,England,Non-member,Non-member,Member
10004930,South East,England,Non-member,Non-member,Member
10005127,South West,England,Non-member,Non-member,Non-member
10005337,Scotland,Scotland,Non-member,Non-member,Member
10005343,Northern Ireland,Northern Ireland,Member,Member,Non-member
10005389,London,England,Non-member,Non-member,Member
10005500,Scotland,Scotland,Non-member,Non-member,Member
10005523,London,England,Non-member,Non-member,Member
10005545,South West,England,Non-member,Non-member,Non-member
10005553,South East,England,Non-member,Member,Non-member
10005561,Scotland,Scotland,Non-member,Non-member,Non-member
10005700,Scotland,Scotland,Non-member,Non-member,Non-member
10005790,Yorkshire and The Humber,England,Non-member,Non-member,Member
10006022,South East,England,Non-member,Non-member,Member
10006299,West Midlands,England,Non-member,Non-member,Member
10006427,South East,England,Non-member,Non-member,Non-member
10006566,London,England,Non-member,Non-member,Member
10006840,West Midlands,England,Member,Member,Non-member
10006841,North West,England,Non-member,Non-member,Member
10006842,North West,England,Member,Member,Non-member
10007114,Scotland,Scotland,Non-member,Non-member,Member
10007137,South East,England,Non-member,Non-member,Member
10007138,East Midlands,England,Non-member,Non-member,Member
10007139,West Midlands,England,Non-member,Non-member,Member
10007140,West Midlands,England,Non-member,Non-member,Member
10007141,North West,England,Non-member,Non-member,Member
10007143,North East,England,Member,Member,Non-member
10007144,London,England,Non-member,Non-member,Member
10007145,South West,England,Non-member,Non-member,Member
10007146,London,England,Non-member,Non-member,Member
10007147,East of England,England,Non-member,Non-member,Member
10007148,Yorkshire and The Humber,England,Non-member,Non-member,Member
10007149,Yorkshire and The Humber,England,Non-member,Member,Non-member
10007150,South East,England,Non-member,Member,Non-member
10007151,East Midlands,England,Non-member,Non-member,Member
10007152,East of England,England,Non-member,Non-member,Member
10007154,East Midlands,England,Member,Member,Non-member
10007155,South East,England,Non-member,Non-member,Member
10007156,North West,England,Non-member,Member,Non-member
10007157,Yorkshire and The Humber,England,Member,Member,Non-member
10007158,South East,England,Member,Member,Non-member
10007159,North East,England,Non-member,Non-member,Member
10007160,South East,England,Non-member,Member,Non-member
10007161,North East,England,Non-member,Non-member,Member
10007162,London,England,Non-member,Non-member,Member
10007163,West Midlands,England,Member,Member,Non-member
10007164,South West,England,Non-member,Non-member,Member
10007165,London,England,Non-member,Non-member,Member
10007166,West Midlands,England,Non-member,Non-member,Member
10007167,Yorkshire and The Humber,England,Member,Member,Non-member
10007657,East of England,England,Non-member,Non-member,Non-member
10007713,Yorkshire and The Humber,England,Non-member,Non-member,Member
10007759,West Midlands,England,Non-member,Member,Non-member
10007760,London,England,Non-member,Member,Non-member
10007761,London,England,Non-member,Non-member,Non-member
10007762,Scotland,Scotland,Non-member,Non-member,Member
10007764,Scotland,Scotland,Non-member,Member,Non-member
10007765,London,England,Non-member,Non-member,Non-member
10007767,West Midlands,England,Non-member,Member,Non-member
10007768,North West,England,Non-member,Member,Non-member
10007769,London,England,Non-member,Member,Non-member
10007771,London,England,Non-member,Member,Non-member
10007772,Scotland,Scotland,Non-member,Non-member,Member
10007773,South East,England,Non-member,Member,Non-member
10007774,South East,England,Member,Member,Non-member
10007775,London,England,Member,Member,Non-member
10007776,London,England,Non-member,Non-member,Member
10007777,London,England,Non-member,Non-member,Non-member
10007778,London,England,Non-member,Non-member,Member
10007779,London,England,Non-member,Member,Non-member
10007780,London,England,Non-member,Member,Non-member
10007782,London,England,Non-member,Member,Non-member
10007783,Scotland,Scotland,Non-member,Member,Non-member
10007784,London,England,Member,Member,Non-member
10007785,Yorkshire and The Humber,England,Non-member,Member,Non-member
10007786,South West,England,Member,Member,Non-member
10007787,South East,England,Non-member,Member,Non-member
10007788,East of England,England,Member,Member,Non-member
10007789,East of England,England,Non-member,Member,Non-member
10007790,Scotland,Scotland,Member,Member,Non-member
10007791,East of England,England,Non-member,Member,Non-member
10007792,South West,England,Member,Member,Non-member
10007793,Wales,Wales,Non-member,Non-member,Member
10007794,Scotland,Scotland,Member,Member,Non-member
10007795,Yorkshire and The Humber,England,Member,Member,Non-member
10007796,East Midlands,England,Non-member,Member,Non-member
10007797,London,England,Non-member,Member,Non-member
10007798,North West,England,Member,Member,Non-member
10007799,North East,England,Member,Member,Non-member
10007800,Scotland,Scotland,Non-member,Non-member,Member
10007801,South West,England,Non-member,Non-member,Member
10007802,South East,England,Non-member,Member,Non-member
10007803,Scotland,Scotland,Non-member,Member,Non-member
10007804,Scotland,Scotland,Non-member,Member,Non-member
10007805,Scotland,Scotland,Non-member,Member,Non-member
10007806,South East,England,Non-member,Member,Non-member
10007807,Northern Ireland,Northern Ireland,Non-member,Member,Non-member
10007811,East Midlands,England,Non-member,Non-member,Member
10007814,Wales,Wales,Member,Member,Non-member
10007816,London,England,Non-member,Non-member,Member
10007822,East of England,England,Non-member,Non-member,Member
10007823,North West,England,Non-member,Non-member,Member
10007825,London,England,Non-member,Non-member,Non-member
10007832,West Midlands,England,Non-member,Non-member,Member
10007833,Wales,Wales,Non-member,Non-member,Non-member
10007835,London,England,Non-member,Non-member,Member
10007837,North West,England,Non-member,Non-member,Member
10007842,North West,England,Non-member,Non-member,Member
10007843,London,England,Non-member,Non-member,Member
10007848,North West,England,Non-member,Non-member,Member
10007849,Scotland,Scotland,Non-member,Non-member,Member
10007850,South West,England,Non-member,Member,Non-member
10007851,East Midlands,England,Non-member,Non-member,Member
10007852,Scotland,Scotland,Non-member,Member,Non-member
10007854,Wales,Wales,Non-member,Non-member,Member
10007855,Wales,Wales,Non-member,Member,Non-member
10007856,Wales,Wales,Non-member,Member,Non-member
10007857,Wales,Wales,Non-member,Member,Non-member
10007858,Wales,Wales,Non-member,Member,Non-member
10008010,Northern Ireland,Northern Ireland,Non-member,Non-member,Member
10008017,London,England,Non-member,Non-member,Non-member
10008026,Northern Ireland,Northern Ireland,Non-member,Non-member,Member
10008574,Wales,Wales,Non-member,Member,Non-member
10008640,South West,England,Non-member,Non-member,Member
10014001,East of England,England,Non-member,Member,Non-member
10037449,South West,England,Non-member,Non-member,Member
10040812,West Midlands,England,Non-member,Non-member,Member
